id_ts,id_person,type_ts,brand,model,release_year,register_number,color
30,807,гужевой транспорт,Овцы,NULL,NULL,NULL,NULL
31,1518,автобус,ГАЗ,UY83,2017,2124868546,фиолетовый
32,1103,легковой автомобиль,Alpha Romeo,WC99,2012,60153863100,белый
33,647,поезд,Коломенский завод,YS82,1981,81071437057,желтый
34,967,велосипед,Polisport,VT43,2002,NULL,синий
35,801,мотоцикл,Yamaha,YS010,2012,7810644463,белый
36,223,поезд,Уралтрансмаш,YG50,2017,5460650432,серебристый
37,203,автобус,ГАЗ,CC66,2008,21098055200,зеленый
38,872,троллейбус,ГАЗ,VF62,1997,2824866552,фиолетовый
39,1258,трамвай,Коломенский завод,PF46,2007,081610101075,черный
40,1089,автобус,ГАЗ,SB48,2001,89952536510,оранжевый
41,162,трамвай,Уралтрансмаш,WF80,1997,7580553517,золотой
42,1772,автобус,ГАЗ,WZ108,1981,83321090719,серебристый
43,739,гужевой транспорт,Буйволы,NULL,NULL,NULL,NULL
44,372,грузовой автомобиль,KAMAZ,ZC79,1988,7832198871,желтый
45,681,поезд,Рузхиммаш,XZ12,2006,92610894251,розовый
46,1718,автобус,ЗИЛ,XQ51,2005,67210561256,синий
47,1590,гужевой транспорт,Овцы,NULL,NULL,NULL,NULL
48,572,трамвай,Уралтрансмаш,YN43,2004,96362100985,оранжевый
49,1790,автобус,ЗИЛ,YL76,1996,5244127129,розовый
50,254,мотоцикл,Ducati,ZY44,1991,9079919483,оранжевый
51,280,гужевой транспорт,Мулы,NULL,NULL,NULL,NULL
52,1789,троллейбус,ЗИЛ,WT51,2017,10351595799,золотой
53,406,грузовой автомобиль,БелАз,JT10,2014,1613840367,зеленый
54,1566,мотоцикл,Honda,DZ910,1992,103704021032,желтый
55,180,автобус,РАФ,ZI47,1994,9499199971,голубый
56,1499,велосипед,KHE,FI50,2020,NULL,оранжевый
57,22,поезд,Новокузнецкий ВСЗ,CV58,1999,2840590258,синий
58,866,троллейбус,ЗИЛ,EW62,2015,1890745246,красный
59,433,трамвай,Новокузнецкий ВСЗ,RU78,1980,3501369780,оранжевый
60,257,трамвай,Рузхиммаш,YR44,1994,10266643960,оранжевый
61,1892,мотоцикл,Yamaha,PZ68,1985,10372197116,синий
62,1380,троллейбус,ЗИЛ,OA13,2003,01720450102,черный
63,870,гужевой транспорт,Собаки,NULL,NULL,NULL,NULL
64,300,автобус,ЛАЗ,VP00,2014,746611042103,синий
65,794,легковой автомобиль,Hyundai,IJ100,1989,011696100110,белый
66,1173,поезд,Уралтрансмаш,ZA12,2015,744621108410,белый
67,1177,мотоцикл,Yamaha,YF33,1993,2971835787,фиолетовый
68,517,трамвай,Уралтрансмаш,ON93,1998,7131978530,оранжевый
69,1516,гужевой транспорт,Лошади,NULL,NULL,NULL,NULL
70,197,легковой автомобиль,Porsche,XI97,2019,8855855256,зеленый
71,845,мотоцикл,Ducati,OT010,2017,10694179801,голубый
72,1841,велосипед,Polisport,YC104,2000,NULL,зеленый
73,1365,автобус,РАФ,KP24,1987,10107246218,золотой
74,54,легковой автомобиль,Ferrari,LV85,1990,3914946070,зеленый
75,1048,велосипед,Stern,ON05,2018,NULL,красный
76,1873,мотоцикл,Triumph,LF101,2014,3837818352,голубый
77,800,троллейбус,ЛАЗ,VP17,2013,2269197485,красный
78,47,автобус,ЛАЗ,PW62,1985,8829026233,голубый
79,788,трамвай,Рузхиммаш,BA84,1988,25033998710,зеленый
80,247,трамвай,Рузхиммаш,RA65,2016,28658663510,розовый
81,1558,поезд,Новокузнецкий ВСЗ,XL08,2003,756810974103,серебристый
82,1188,трамвай,Уралтрансмаш,DI28,2010,7761174401,золотой
83,504,поезд,Новокузнецкий ВСЗ,QI38,1983,1048796941,голубый
84,1840,грузовой автомобиль,БелАз,DO710,1992,01074341064,коричневый
85,619,трамвай,Коломенский завод,NH22,1997,10261390976,розовый
86,1745,троллейбус,ЗИЛ,YY29,1992,3386579415,коричневый
87,404,троллейбус,ЛАЗ,ZC85,2010,77831062890,черный
88,1668,автобус,ЛАЗ,HO03,2015,8963665622,золотой
89,38,гужевой транспорт,Овцы,NULL,NULL,NULL,NULL
90,177,грузовой автомобиль,KAMAZ,BF68,1985,1361374943,серебристый
91,206,мотоцикл,Yamaha,JI51,2006,1297360431,черный
92,211,поезд,Метровагонмаш,XV81,1983,0101031002227,серебристый
93,215,легковой автомобиль,Bugatti,QC46,1993,6613358767,оранжевый
94,1072,гужевой транспорт,Буйволы,NULL,NULL,NULL,NULL
95,1102,велосипед,Maxiscoo,OR89,2010,NULL,желтый
96,1203,легковой автомобиль,Skoda,BL100,1996,26109791463,красный
97,860,автобус,ГАЗ,PN17,1984,67162621810,голубый
98,1989,мотоцикл,Yamaha,YW66,2008,73320533104,фиолетовый
99,495,мотоцикл,Suzuki,GX32,1992,10102357127,желтый
100,1796,поезд,Уралтрансмаш,VQ52,2008,761618410410,фиолетовый
101,1485,грузовой автомобиль,Тонор,JD410,1987,37090108040,черный
102,1404,легковой автомобиль,Lada,BV06,2015,10857917024,фиолетовый
103,1488,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
104,983,велосипед,Eltreco,MX17,1993,NULL,оранжевый
105,748,трамвай,Коломенский завод,OU68,2014,010601010488,фиолетовый
106,1949,поезд,Новокузнецкий ВСЗ,NT39,2016,17139010865,синий
107,1226,легковой автомобиль,KIA,SN05,1990,3364995118,фиолетовый
108,97,мотоцикл,BMW,VY41,2006,10659094478,желтый
109,1306,грузовой автомобиль,MAZ,XP90,2004,33289515107,розовый
110,940,легковой автомобиль,Skoda,SZ1010,2003,1482143594,розовый
111,542,автобус,ГАЗ,SX00,2000,9239885949,фиолетовый
112,660,грузовой автомобиль,MAN,XU26,2017,21027481870,красный
113,610,легковой автомобиль,Mini,PC73,2010,28503211032,голубый
114,252,поезд,Коломенский завод,ZL85,2009,8697289711,красный
115,1055,велосипед,Eltreco,WW60,1998,NULL,синий
116,1176,поезд,Уралтрансмаш,NS19,2017,8959599846,черный
117,920,поезд,Коломенский завод,BC50,1992,110251071811,черный
118,1172,гужевой транспорт,Овцы,NULL,NULL,NULL,NULL
119,365,автобус,РАФ,OY40,2010,5408370953,голубый
120,1663,гужевой транспорт,Лошади,NULL,NULL,NULL,NULL
121,1159,грузовой автомобиль,KAMAZ,BJ106,2002,9625041801,оранжевый
122,1356,легковой автомобиль,Ford,AQ28,1981,010910853439,синий
123,1348,трамвай,Метровагонмаш,NP010,1980,748106902106,оранжевый
124,1718,поезд,Уралтрансмаш,UP44,1991,19767606310,оранжевый
125,1881,мотоцикл,Irbis,UU410,1997,8821352076,черный
126,414,велосипед,Scott,VI92,2019,NULL,голубый
127,1605,автобус,ЗИЛ,OF60,1990,57576088107,золотой
128,1182,троллейбус,ЛАЗ,FI01,2016,995421010808,голубый
129,1043,автобус,ЗИЛ,OQ39,2015,984669106100,голубый
130,1790,автобус,ЛАЗ,HC91,1985,575311091046,золотой
131,1563,легковой автомобиль,Tesla,EV92,1999,28090010512,черный
132,388,троллейбус,ГАЗ,VD01,1989,5301107090,черный
133,143,поезд,Рузхиммаш,DT710,1984,6947105104105,оранжевый
134,278,поезд,Рузхиммаш,SN17,2020,27610546439,золотой
135,1257,легковой автомобиль,Peugeot,GQ70,1990,3657131651,серебристый
136,1814,трамвай,Метровагонмаш,YW19,2004,01045217720,серебристый
137,1744,автобус,ЗИЛ,HG52,2004,0367978734,фиолетовый
138,830,поезд,Новокузнецкий ВСЗ,EW93,2008,82031079881,коричневый
139,260,легковой автомобиль,Tayota,XD80,1980,51472092110,желтый
140,1867,троллейбус,РАФ,UF110,1982,10364006330,серебристый
141,1771,трамвай,Метровагонмаш,CE07,1980,70010076623,красный
142,133,трамвай,Новокузнецкий ВСЗ,HN70,1989,10096537689,коричневый
143,868,легковой автомобиль,Peugeot,CZ83,2000,8522909707,белый
144,1376,гужевой транспорт,Ослы,NULL,NULL,NULL,NULL
145,555,троллейбус,ЛАЗ,DA109,2018,45646010511,белый
146,1188,гужевой транспорт,Собаки,NULL,NULL,NULL,NULL
147,526,велосипед,Scott,KM89,2003,NULL,синий
148,687,легковой автомобиль,Porsche,GL31,2014,57109374003,желтый
149,360,мотоцикл,Honda,KT105,1998,110687401031,белый
150,492,легковой автомобиль,Citroen,GT101,2009,1273318106,голубый
151,241,мотоцикл,Triumph,PX03,2006,1955900997,зеленый
152,815,троллейбус,ЗИЛ,AZ31,1991,74718811033,зеленый
153,1976,велосипед,Scott,JG103,2010,NULL,синий
154,1331,велосипед,Maxiscoo,AL76,2012,NULL,коричневый
155,1525,поезд,Уралтрансмаш,RI15,2018,6538554832,фиолетовый
156,1273,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
157,1516,поезд,Уралтрансмаш,PD79,1995,5910581041410,оранжевый
158,1728,автобус,ЗИЛ,CZ80,1985,4163571474,серебристый
159,19,велосипед,Eltreco,WI210,1991,NULL,голубый
160,379,троллейбус,ЗИЛ,VT47,2000,867241031099,синий
161,1600,мотоцикл,Honda,PK16,1986,6285423419,желтый
162,1337,трамвай,Коломенский завод,UH74,1980,0813329657,синий
163,1969,грузовой автомобиль,Foton,DE70,2008,72510607680,желтый
164,1145,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
165,926,поезд,Коломенский завод,WQ55,1991,3252102341,розовый
166,1098,велосипед,Trek,NL96,1994,NULL,синий
167,1082,грузовой автомобиль,MAZ,GO70,2009,4157277361,красный
168,90,поезд,Коломенский завод,AR36,2015,81093393419,голубый
169,1005,троллейбус,ГАЗ,JU109,1986,3678625592,золотой
170,1826,мотоцикл,Irbis,FX13,1998,7302480857,коричневый
171,1767,поезд,Рузхиммаш,ZI49,2009,5260477524,красный
172,1744,гужевой транспорт,Мулы,NULL,NULL,NULL,NULL
173,1112,мотоцикл,BMW,VG01,2003,0870057617,зеленый
174,637,троллейбус,ГАЗ,UH01,2005,93969381011,синий
175,572,гужевой транспорт,Ослы,NULL,NULL,NULL,NULL
176,807,велосипед,Eltreco,UW410,1995,NULL,коричневый
177,1166,велосипед,Polisport,DB71,2000,NULL,оранжевый
178,1251,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
179,784,поезд,Рузхиммаш,XO04,1982,37861082166,розовый
180,445,поезд,Рузхиммаш,ID26,2015,00111136105,розовый
181,849,гужевой транспорт,Волы,NULL,NULL,NULL,NULL
182,1772,автобус,ЛАЗ,AP25,1982,8383438304,желтый
183,1097,поезд,Рузхиммаш,WA98,1989,1683955976,оранжевый
184,721,поезд,Коломенский завод,EZ16,1988,101646721018,золотой
185,1049,поезд,Рузхиммаш,AY105,2004,11030881160,красный
186,1959,гужевой транспорт,Собаки,NULL,NULL,NULL,NULL
187,1378,трамвай,Рузхиммаш,TE24,1993,321008109249,черный
188,24,трамвай,Коломенский завод,JM79,1988,10661402985,синий
189,376,велосипед,Polisport,UQ910,2006,NULL,красный
190,1494,легковой автомобиль,Ford,HN010,1998,010635291057,фиолетовый
191,913,троллейбус,РАФ,WT71,1980,901010185465,золотой
192,931,мотоцикл,Honda,FV86,2010,057010272102,коричневый
193,1714,автобус,ГАЗ,SO93,2019,0101019010868,серебристый
194,1475,троллейбус,ГАЗ,DZ47,1989,2649290145,черный
195,851,велосипед,KHE,VE83,2000,NULL,коричневый
196,260,поезд,Уралтрансмаш,FX00,2003,43227834510,черный
197,324,поезд,Уралтрансмаш,WP101,2002,629103830710,зеленый
198,1971,поезд,Уралтрансмаш,LD76,2016,77583610825,оранжевый
199,1138,поезд,Рузхиммаш,XD98,2012,616101810159,зеленый
200,1632,легковой автомобиль,Honda,KY95,1987,7416900947,белый
201,744,автобус,ЗИЛ,XB73,1994,9040080634,серебристый
202,1786,поезд,Новокузнецкий ВСЗ,FA1010,2006,0992966496,коричневый
203,1349,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
204,934,автобус,ЗИЛ,VR08,1991,66311950103,фиолетовый
205,1060,велосипед,Polisport,FF810,1995,NULL,черный
206,784,мотоцикл,BMW,HG66,2009,3422841511,синий
207,1070,грузовой автомобиль,Тонор,LU08,1985,6740318213,золотой
208,916,грузовой автомобиль,MAN,OI110,1993,9577901654,фиолетовый
209,692,легковой автомобиль,Volkswagen,IL510,1993,2678788337,голубый
210,350,троллейбус,РАФ,XU109,1981,27211864107,красный
211,973,грузовой автомобиль,БелАз,VI16,2005,8610103101055,белый
212,140,трамвай,Новокузнецкий ВСЗ,BN92,1981,108631067142,фиолетовый
213,1252,мотоцикл,Suzuki,DV50,1996,367103518010,розовый
214,1312,троллейбус,ГАЗ,ZD95,1985,880102661083,зеленый
215,1332,автобус,ЛАЗ,BD28,2014,1509362872,черный
216,1859,автобус,ГАЗ,CS78,1982,1111051005101,оранжевый
217,1799,автобус,ГАЗ,EG25,2002,8322691945,серебристый
218,1355,автобус,ГАЗ,DG08,2004,63931310771,золотой
219,1441,велосипед,Trek,QI63,2002,NULL,серебристый
220,1298,автобус,ЗИЛ,KR07,1994,9201099821010,серебристый
221,1306,легковой автомобиль,Peugeot,HG04,2009,1106108103130,синий
222,1160,легковой автомобиль,Lexus,DL102,1982,5334824980,розовый
223,722,троллейбус,ГАЗ,QZ38,2014,5080819089,оранжевый
224,245,трамвай,Метровагонмаш,NT105,2005,6181957310,белый
225,1661,гужевой транспорт,Лошади,NULL,NULL,NULL,NULL
226,641,легковой автомобиль,Volvo,JN33,1989,103228103554,синий
227,1737,гужевой транспорт,Овцы,NULL,NULL,NULL,NULL
228,119,троллейбус,ЛАЗ,RG15,2013,5368726061,оранжевый
229,1879,трамвай,Коломенский завод,KI67,1993,15921089104,оранжевый
230,893,троллейбус,ГАЗ,WK75,2000,77980952810,розовый
231,1362,мотоцикл,Harley-Davidson,LJ36,2006,6115027256,красный
232,551,велосипед,Maxiscoo,RV13,2013,NULL,желтый
233,279,грузовой автомобиль,Тонор,IU60,1992,81307102960,синий
234,664,гужевой транспорт,Мулы,NULL,NULL,NULL,NULL
235,1685,трамвай,Новокузнецкий ВСЗ,AR77,1985,16310263734,красный
236,721,грузовой автомобиль,MAZ,PP109,1987,0787708930,золотой
237,176,поезд,Метровагонмаш,PS47,2001,72952511077,синий
238,415,грузовой автомобиль,БелАз,EY105,1985,40920108072,синий
239,503,гужевой транспорт,Собаки,NULL,NULL,NULL,NULL
240,732,грузовой автомобиль,Foton,UI33,2010,1252295641,оранжевый
241,304,мотоцикл,BMW,DH90,1989,893105310050,коричневый
242,1290,мотоцикл,Hero,LV63,2018,18110598423,голубый
243,1768,троллейбус,ЗИЛ,JF010,2016,163992103310,оранжевый
244,22,мотоцикл,Suzuki,DO07,2013,3033664177,красный
245,370,троллейбус,РАФ,ZO35,1981,9595818114,голубый
246,1977,велосипед,Trek,OV64,1995,NULL,желтый
247,1696,легковой автомобиль,Tesla,YG30,2011,1186588962,белый
248,803,трамвай,Уралтрансмаш,EN06,2013,8601809260,розовый
249,1488,велосипед,Trek,KO101,1984,NULL,желтый
250,1860,поезд,Уралтрансмаш,NJ27,1996,21711098109,синий
251,20,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
252,255,гужевой транспорт,Буйволы,NULL,NULL,NULL,NULL
253,1559,велосипед,Trek,JK42,2007,NULL,золотой
254,1703,велосипед,Eltreco,GH00,2004,NULL,черный
255,1974,велосипед,Polisport,WB18,2012,NULL,черный
256,1039,троллейбус,ЗИЛ,ZV27,2002,78836171016,черный
257,1285,мотоцикл,Kawasaki,NR95,1980,87899410646,зеленый
258,1029,легковой автомобиль,Lexus,UA20,2008,3123911077,розовый
259,322,грузовой автомобиль,БелАз,XM41,1989,34210586473,золотой
260,1591,велосипед,Maxiscoo,PR60,1990,NULL,золотой
261,831,легковой автомобиль,Ford,RO37,1983,8214427312,белый
262,850,трамвай,Коломенский завод,JD03,2010,102127090105,золотой
263,1773,велосипед,Scott,WL78,2000,NULL,синий
264,1526,легковой автомобиль,Honda,JJ44,2009,61090618605,оранжевый
265,1751,гужевой транспорт,Буйволы,NULL,NULL,NULL,NULL
266,1012,мотоцикл,Honda,RG17,2014,4227842111,черный
267,804,грузовой автомобиль,KAMAZ,BI108,2014,63449106583,зеленый
268,317,велосипед,Polisport,AV49,2006,NULL,белый
269,915,велосипед,Stern,IV54,2001,NULL,голубый
270,845,легковой автомобиль,Bentley,MF210,2006,78104292907,розовый
271,85,гужевой транспорт,Лошади,NULL,NULL,NULL,NULL
272,372,автобус,ЛАЗ,NC61,2001,0146370972,золотой
273,598,гужевой транспорт,Мулы,NULL,NULL,NULL,NULL
274,1864,велосипед,Maxiscoo,QH42,1996,NULL,розовый
275,219,грузовой автомобиль,Тонор,OJ37,1982,1037400175,черный
276,1455,гужевой транспорт,Волы,NULL,NULL,NULL,NULL
277,1779,грузовой автомобиль,БелАз,AH75,1988,47106320371,розовый
278,1372,гужевой транспорт,Волы,NULL,NULL,NULL,NULL
279,1111,автобус,ЗИЛ,NW21,1987,07310685332,фиолетовый
280,1553,поезд,Уралтрансмаш,WJ510,2013,2193767155,синий
281,1563,легковой автомобиль,Haval,TN74,2010,9811827577,желтый
282,1267,автобус,ГАЗ,SW43,1989,101029497335,зеленый
283,874,поезд,Новокузнецкий ВСЗ,UL45,1995,9599211048,коричневый
284,937,трамвай,Метровагонмаш,RY310,1983,36106100105103,золотой
285,1052,легковой автомобиль,Skoda,JI310,2009,82519259108,черный
286,76,грузовой автомобиль,Тонор,EH28,1982,61021407522,белый
287,788,мотоцикл,Ducati,OT41,2009,110410447083,оранжевый
288,854,автобус,ЛАЗ,AT53,2010,49446103365,красный
289,1684,легковой автомобиль,Lexus,MJ64,1985,659107071510,розовый
290,365,грузовой автомобиль,Тонор,CU22,2018,7445146323,фиолетовый
291,437,грузовой автомобиль,KAMAZ,FO89,2004,12931599910,серебристый
292,650,автобус,ЗИЛ,HG95,1992,14108320526,синий
293,1989,велосипед,Maxiscoo,SC37,2003,NULL,зеленый
294,1548,трамвай,Метровагонмаш,AX85,1993,9649781579,голубый
295,175,поезд,Уралтрансмаш,YO12,1999,2705166936,зеленый
296,62,мотоцикл,Suzuki,FR30,2004,9109234406,золотой
297,76,гужевой транспорт,Собаки,NULL,NULL,NULL,NULL
298,847,велосипед,Stern,EU59,2007,NULL,зеленый
299,1733,велосипед,Polisport,FZ80,2019,NULL,черный
300,125,грузовой автомобиль,Тонор,ZE58,2000,91020716488,желтый
301,247,грузовой автомобиль,MAZ,TS10,1985,861051022320,белый
302,1126,велосипед,KHE,RG63,1997,NULL,золотой
303,1919,легковой автомобиль,Cadillac,WC99,2011,3921528428,золотой
304,1368,грузовой автомобиль,MAZ,DB05,1986,021031010583,голубый
305,1136,грузовой автомобиль,MAZ,SN102,1988,9100101453010,серебристый
306,1736,велосипед,KHE,NK109,2008,NULL,серебристый
307,1023,автобус,ЗИЛ,PF104,2012,9508975207,белый
308,1754,автобус,ЛАЗ,BD85,2010,1620690187,красный
309,361,легковой автомобиль,Jaguar,MT04,1991,55519824710,голубый
310,647,легковой автомобиль,Chery,CK41,2000,887084410610,красный
311,842,легковой автомобиль,Ford,WF22,1981,49239810078,золотой
312,1129,велосипед,Eltreco,GS43,1987,NULL,красный
313,1889,гужевой транспорт,Буйволы,NULL,NULL,NULL,NULL
314,1938,легковой автомобиль,Corvette,RG109,1981,28301144210,красный
315,504,грузовой автомобиль,Foton,XI80,2018,0034080195,голубый
316,1065,грузовой автомобиль,MAZ,VZ710,2000,2101027350410,фиолетовый
317,1392,поезд,Метровагонмаш,SA92,1990,64050502104,голубый
318,1166,автобус,ЛАЗ,LN93,1985,09721033838,голубый
319,1155,мотоцикл,Triumph,YR02,1997,8115898735,фиолетовый
320,1852,автобус,РАФ,XS19,2008,27459979106,черный
321,1081,легковой автомобиль,BMW,UF510,1986,5375311647,голубый
322,334,легковой автомобиль,Lamborghini,WM110,1996,2330699595,коричневый
323,909,грузовой автомобиль,KAMAZ,TY53,2010,9394227996,розовый
324,1302,мотоцикл,BMW,XF71,2003,7043997779,фиолетовый
325,944,легковой автомобиль,Skoda,NA62,2010,101795301090,зеленый
326,1478,велосипед,Eltreco,FB61,1997,NULL,голубый
327,1500,легковой автомобиль,Lamborghini,FI22,1989,59812981104,голубый
328,1849,мотоцикл,Harley-Davidson,BV27,2001,8464651289,зеленый
329,1554,троллейбус,ГАЗ,KA89,1996,32110498220,синий
330,1678,поезд,Коломенский завод,OK50,1982,103995351062,белый
331,384,гужевой транспорт,Овцы,NULL,NULL,NULL,NULL
332,1593,поезд,Рузхиммаш,JV104,1981,4911662360,оранжевый
333,27,грузовой автомобиль,MAN,MT92,1990,4656400571,синий
334,915,мотоцикл,Irbis,KH36,1991,8741565420,голубый
335,1126,поезд,Рузхиммаш,JI23,2016,10267469611,коричневый
336,1109,велосипед,Trek,JD47,1987,NULL,желтый
337,1416,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
338,1855,мотоцикл,Honda,QN52,2018,4808994253,фиолетовый
339,1848,велосипед,Eltreco,GF09,2013,NULL,синий
340,1612,трамвай,Новокузнецкий ВСЗ,AO42,1993,702458110101,желтый
341,740,легковой автомобиль,UAZ,NM102,1988,6145447804,фиолетовый
342,667,мотоцикл,Triumph,ZF01,1986,419710867310,серебристый
343,1970,автобус,ЛАЗ,FB710,2003,971068493109,черный
344,1997,трамвай,Уралтрансмаш,UH71,2010,67104682330,серебристый
345,1208,автобус,ЗИЛ,NE61,2009,4417191311,голубый
346,931,трамвай,Новокузнецкий ВСЗ,TR61,1983,8423800748,розовый
347,1919,трамвай,Коломенский завод,CV51,1995,2369241109,зеленый
348,121,мотоцикл,Yamaha,IE87,1986,24104616950,оранжевый
349,37,автобус,ГАЗ,LP97,2005,61210130576,коричневый
350,720,грузовой автомобиль,MAZ,MV87,2001,72851830410,черный
351,1886,трамвай,Метровагонмаш,FL92,2010,434891018105,красный
352,1321,грузовой автомобиль,KAMAZ,GL97,1996,12310156924,оранжевый
353,489,легковой автомобиль,Mercedes-Benz,MC107,1981,73862105119,оранжевый
354,1421,грузовой автомобиль,Foton,NZ46,1988,21014039419,коричневый
355,984,грузовой автомобиль,Тонор,DB52,1996,4835348451,синий
356,407,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
357,711,поезд,Новокузнецкий ВСЗ,MH76,1996,10332979044,оранжевый
358,765,грузовой автомобиль,БелАз,PM77,1982,103501043064,розовый
359,740,автобус,ГАЗ,MU52,2002,510655101906,зеленый
360,103,поезд,Уралтрансмаш,WU36,1984,1900026906,черный
361,647,троллейбус,ЗИЛ,PE98,1993,9382621769,красный
362,1079,поезд,Коломенский завод,FU52,2004,7793986257,голубый
363,1039,мотоцикл,Triumph,LV52,2020,6514831643,черный
364,1733,автобус,ЛАЗ,JC107,2006,9827613066,красный
365,1477,автобус,ЗИЛ,PL78,2018,0683137154,оранжевый
366,1760,троллейбус,ЗИЛ,JM58,1988,0059590954,черный
367,573,трамвай,Коломенский завод,OH11,1993,610953921042,черный
368,1142,автобус,РАФ,YL88,2007,51371076263,белый
369,151,мотоцикл,Triumph,SF710,2018,8964572694,желтый
370,1367,автобус,ЛАЗ,CW30,2015,35510339324,красный
371,408,гужевой транспорт,Лошади,NULL,NULL,NULL,NULL
372,1031,мотоцикл,BMW,EU910,1992,11391083626,фиолетовый
373,1048,трамвай,Рузхиммаш,MR46,2016,10883053935,оранжевый
374,279,гужевой транспорт,Буйволы,NULL,NULL,NULL,NULL
375,1215,велосипед,Eltreco,TA53,2012,NULL,желтый
376,1136,легковой автомобиль,Lamborghini,HB37,1993,5700580730,желтый
377,1279,автобус,ЛАЗ,VY83,1983,41072245434,серебристый
378,281,велосипед,Scott,WX27,1997,NULL,синий
379,456,трамвай,Новокузнецкий ВСЗ,DS06,1996,0467582517,оранжевый
380,1156,велосипед,Polisport,RN57,1991,NULL,золотой
381,1970,мотоцикл,Harley-Davidson,GX37,2008,1056924177,зеленый
382,537,поезд,Уралтрансмаш,BH510,2013,1857434320,фиолетовый
383,981,грузовой автомобиль,MAN,AC57,1986,71961050089,оранжевый
384,216,грузовой автомобиль,Foton,SM88,1985,9337039876,золотой
385,620,трамвай,Уралтрансмаш,ID04,1990,13911075151,серебристый
386,1382,поезд,Коломенский завод,KS46,1996,87514545108,красный
387,1715,поезд,Уралтрансмаш,FD91,1994,8744003315,коричневый
388,632,троллейбус,ЗИЛ,NX63,1985,5776352270,розовый
389,942,автобус,ЗИЛ,QR20,1980,44394281056,фиолетовый
390,992,велосипед,Polisport,TP38,2014,NULL,золотой
391,1372,грузовой автомобиль,БелАз,XL05,2017,96424391082,золотой
392,1166,гужевой транспорт,Собаки,NULL,NULL,NULL,NULL
393,461,велосипед,Maxiscoo,BL34,1987,NULL,золотой
394,553,грузовой автомобиль,MAN,PO47,2019,7138857841,золотой
395,1489,гужевой транспорт,Олени,NULL,NULL,NULL,NULL
396,909,автобус,ЛАЗ,GO108,2019,591897610910,желтый
397,830,трамвай,Метровагонмаш,UA50,1991,65441732106,розовый
398,1545,грузовой автомобиль,Тонор,CZ94,2007,1420492032,оранжевый
399,709,легковой автомобиль,Jaguar,PC310,2018,83210009829,коричневый
400,1693,мотоцикл,Triumph,RR310,1983,1645317075,черный
401,853,троллейбус,ЗИЛ,VI108,2017,110868503102,черный
402,1991,легковой автомобиль,Honda,UN56,2000,0466906408,розовый
403,1952,мотоцикл,Harley-Davidson,KX02,2017,3030768151,серебристый
404,510,троллейбус,ЛАЗ,IC58,2019,908967741010,оранжевый
405,1229,велосипед,Eltreco,ZK71,1983,NULL,серебристый
406,997,грузовой автомобиль,Foton,HX103,1983,8302195857,серебристый
407,1791,троллейбус,ЗИЛ,KU06,1994,10672614050,зеленый
408,882,велосипед,Scott,DH01,2014,NULL,розовый
